NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
1,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079608,25.05719074,301250.24,2772208.37
2,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079553,25.05716852,301249.7,2772205.91
3,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,121.5079536,25.05714609,301249.54,2772203.43
4,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5076358,25.05575463,301218.05,2772049.18
5,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5076081,25.05575463,301215.25,2772049.17
6,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075803,25.05576019,301212.45,2772049.77
7,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075581,25.0557713,301210.2,2772051
8,大同區,延平河濱公園,自行車租借站旁,景觀,,121.5075414,25.05576852,301208.52,2772050.68
9,大同區,延平河濱公園,延平宮旁,景觀,,121.5072817,25.054255,301182.94,2771882.94
10,大同區,延平河濱公園,延平宮旁,景觀,,121.5072706,25.05421334,301181.84,2771878.32
11,大同區,延平河濱公園,延平宮旁,景觀,,121.5072567,25.05411889,301180.48,2771867.85
12,大同區,延平河濱公園,延平宮旁,景觀,,121.5072456,25.05409111,301179.37,2771864.77
13,大同區,延平河濱公園,天水宮旁,景觀,,121.508218,25.057789,301275.9451,2772274.738
14,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466517,25.110257,297048.4574,2778071.221
15,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466472,25.110251,297043.9213,2778070.54
16,士林區,社子島沿線(待命名),社子島頭,景觀,,121.466435,25.110249,297040.1906,2778070.306
17,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507086,25.093397,301146.9372,2776218.456
18,士林區,百齡左岸河濱公園,社子棒球場,景觀,,121.507155,25.093386,301153.9015,2776217.264
19,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620011,25.12163185,296588.71,2779329.6
20,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620008,25.12160597,296588.69,2779326.73
